EventID,Timestamp,Protocal,Source IP,Source Port,Destination IP,Destination Port
437,2024-12-21 16:48:32,tcp,192.168.43.41,18101,192.168.43.13,34710
438,2024-12-21 16:48:32,tcp,192.168.43.41,5221,192.168.43.13,34710
439,2024-12-21 16:48:32,tcp,192.168.43.41,2393,192.168.43.13,34710
440,2024-12-21 16:48:32,tcp,192.168.43.41,8083,192.168.43.13,34710
441,2024-12-21 16:48:32,tcp,192.168.43.41,1213,192.168.43.13,34710
442,2024-12-21 16:48:32,tcp,192.168.43.41,5226,192.168.43.13,34710
443,2024-12-21 16:48:32,tcp,192.168.43.41,179,192.168.43.13,34710
444,2024-12-21 16:48:32,tcp,192.168.43.41,10009,192.168.43.13,34710
445,2024-12-21 16:48:32,tcp,192.168.43.41,7921,192.168.43.13,34710
446,2024-12-21 16:48:34,tcp,192.168.43.41,38592,20.50.73.10,443
447,2024-12-21 16:48:34,tcp,192.168.43.41,38592,20.50.73.10,443
448,2024-12-21 16:48:34,tcp,192.168.43.41,38592,20.50.73.10,443
449,2024-12-21 16:48:34,tcp,192.168.43.41,38592,20.50.73.10,443
450,2024-12-21 16:48:34,tcp,192.168.43.41,38592,20.50.73.10,443
451,2024-12-21 16:48:34,tcp,192.168.43.41,38592,20.50.73.10,443
452,2024-12-21 16:48:34,tcp,20.50.73.10,443,192.168.43.41,38592
453,2024-12-21 16:48:34,tcp,20.50.73.10,443,192.168.43.41,38592
454,2024-12-21 16:48:34,tcp,192.168.43.41,38592,20.50.73.10,443
455,2024-12-21 16:48:34,tcp,20.50.73.10,443,192.168.43.41,38592
456,2024-12-21 16:48:34,tcp,20.50.73.10,443,192.168.43.41,38592
457,2024-12-21 16:48:34,tcp,20.50.73.10,443,192.168.43.41,38592
458,2024-12-21 16:48:34,tcp,20.50.73.10,443,192.168.43.41,38592
459,2024-12-21 16:48:34,tcp,20.50.73.10,443,192.168.43.41,38592
460,2024-12-21 16:48:34,tcp,192.168.43.41,38592,20.50.73.10,443
461,2024-12-21 16:48:34,tcp,192.168.43.41,38592,20.50.73.10,443
462,2024-12-21 16:49:09,tcp,192.168.43.13,20,192.168.43.41,5000
463,2024-12-21 16:49:45,icmp,192.168.43.13,,192.168.43.41,
